ticker,base,quote,exchange,price,ask,bid,spread,volume
sun-BTC,sun,BTC,binance,0.000387,0.000389,0.000387,2.0000000000000486e-06,10797.11
sun-usd,sun,usd,binance,9.084,9.083,9.028,0.054999999999999716,30332.204
avax-BTC,avax,BTC,binance,0.00014565,0.00014577,0.00014534,4.300000000000213e-07,144593.5
avax-usd,avax,usd,binance,3.4036,3.4037,3.3973,0.006400000000000183,526998.87
hnt-BTC,hnt,BTC,binance,6.06e-05,6.06e-05,6.03e-05,3.000000000000005e-07,66251.03
hnt-usd,hnt,usd,binance,1.416,1.416,1.414,0.0020000000000000018,409254.659
flm-BTC,flm,BTC,binance,8.58e-06,8.59e-06,8.57e-06,2.0000000000001503e-08,1341815.0
flm-usd,flm,usd,binance,0.2003,0.2005,0.2001,0.00040000000000001146,8873936.92
scrt-BTC,scrt,BTC,binance,2.349e-05,2.372e-05,2.347e-05,2.499999999999993e-07,380064.0
scrt-eth,scrt,eth,binance,0.000851,0.000857,0.000851,6.000000000000037e-06,147008.15
uniup-usd,uniup,usd,binance,3.964,3.969,3.948,0.020999999999999908,756616.7
unidown-usd,unidown,usd,binance,1.917,1.915,1.903,0.01200000000000001,586307.34
orn-BTC,orn,BTC,binance,0.0001041,0.000104,0.0001035,4.999999999999986e-07,132987.83
orn-usd,orn,usd,binance,2.4346,2.4342,2.4219,0.0123000000000002,415465.48
utk-BTC,utk,BTC,binance,5.64e-06,5.68e-06,5.65e-06,2.999999999999971e-08,3261538.0
utk-usd,utk,usd,binance,0.1321,0.1332,0.1321,0.0011000000000000176,5807899.28
xvs-BTC,xvs,BTC,binance,0.0001813,0.0001817,0.000181,6.999999999999899e-07,317216.79
xvs-usd,xvs,usd,binance,4.235,4.242,4.236,0.006000000000000227,823719.164
alpha-BTC,alpha,BTC,binance,9.55e-06,9.55e-06,9.52e-06,2.999999999999971e-08,3581004.0
alpha-usd,alpha,usd,binance,0.22311,0.22362,0.22305,0.0005700000000000149,17516494.2
vidt-BTC,vidt,BTC,binance,2.511e-05,2.511e-05,2.498e-05,1.2999999999999706e-07,5467833.0
aave-BTC,aave,BTC,binance,0.003694,0.003696,0.003693,2.9999999999999645e-06,142185.37
aave-eth,aave,eth,binance,0.13365,0.13366,0.13351,0.00015000000000001124,35734.203
aave-usd,aave,usd,binance,86.303,86.384,86.296,0.08799999999999386,379483.591
near-BTC,near,BTC,binance,4.4e-05,4.41e-05,4.4e-05,1.0000000000000243e-07,820599.3
near-usd,near,usd,binance,1.0288,1.0286,1.028,0.0005999999999999339,4841366.31
